timestamp,open,high,low,close,volume
2015-01-02,2.7,2.73,2.64,2.69,7729200.0
2015-01-05,2.67,2.7,2.64,2.66,8250600.0
2015-01-06,2.65,2.66,2.55,2.63,11862700.0
2015-01-07,2.63,2.65,2.54,2.58,11795300.0
2015-01-08,2.59,2.65,2.56,2.61,9714500.0
2015-01-09,2.63,2.64,2.58,2.63,8379600.0
2015-01-12,2.62,2.64,2.55,2.63,9482500.0
2015-01-13,2.64,2.68,2.6,2.66,15932300.0
2015-01-14,2.6,2.66,2.58,2.63,9288600.0
2015-01-15,2.62,2.65,2.49,2.52,16939000.0
2015-01-16,2.52,2.53,2.39,2.39,29092300.0
2015-01-20,2.39,2.43,2.19,2.24,51715000.0
2015-01-21,2.18,2.45,2.14,2.45,45093300.0
2015-01-22,2.42,2.5,2.37,2.47,35024900.0
2015-01-23,2.48,2.5,2.43,2.45,10482000.0
2015-01-26,2.44,2.64,2.44,2.61,35434200.0
2015-01-27,2.58,2.84,2.56,2.7,50262000.0
2015-01-28,2.71,2.75,2.6,2.63,23775300.0
2015-01-29,2.63,2.69,2.51,2.61,17202100.0
2015-01-30,2.56,2.6,2.51,2.57,12009800.0
2015-02-02,2.69,2.75,2.65,2.67,24424800.0
2015-02-03,2.7,2.8,2.68,2.76,21424900.0
2015-02-04,2.78,2.92,2.76,2.85,27624600.0
2015-02-05,2.88,3.37,2.87,3.31,70047800.0
2015-02-06,3.2,3.21,3.0,3.03,36189800.0
2015-02-09,3.03,3.07,2.93,3.04,23253200.0
2015-02-10,3.07,3.1,3.01,3.04,13156900.0
2015-02-11,3.03,3.1,3.0,3.07,11134400.0
2015-02-12,3.08,3.15,3.05,3.12,12268000.0
2015-02-13,3.13,3.18,3.11,3.15,8763300.0
2015-02-17,3.16,3.17,3.08,3.11,8086600.0
2015-02-18,3.11,3.14,3.06,3.08,6319700.0
2015-02-19,3.06,3.08,3.01,3.06,6267500.0
2015-02-20,3.03,3.13,3.02,3.06,9228600.0
2015-02-23,3.05,3.1,3.03,3.06,5907300.0
2015-02-24,3.06,3.12,3.02,3.11,10188400.0
2015-02-25,3.08,3.14,3.06,3.1,5626600.0
2015-02-26,3.1,3.13,3.06,3.08,8335300.0
2015-02-27,3.07,3.12,3.07,3.11,6714500.0
2015-03-02,3.13,3.23,3.11,3.21,13417200.0
2015-03-03,3.2,3.23,3.13,3.14,8143900.0
2015-03-04,3.14,3.14,3.01,3.05,11547200.0
2015-03-05,3.1,3.1,2.98,2.98,10654100.0
2015-03-06,2.96,2.99,2.83,2.92,16026800.0
2015-03-09,2.92,2.98,2.9,2.93,11844600.0
2015-03-10,2.97,2.98,2.92,2.92,9522700.0
2015-03-11,2.92,2.95,2.8,2.84,10159600.0
2015-03-12,2.76,2.79,2.71,2.76,13052900.0
2015-03-13,2.74,2.78,2.71,2.75,7707800.0
2015-03-16,2.75,2.81,2.75,2.76,5680200.0
2015-03-17,2.75,2.8,2.73,2.77,7059800.0
2015-03-18,2.77,2.82,2.72,2.75,10695300.0
2015-03-19,2.76,2.78,2.73,2.74,8407200.0
2015-03-20,2.76,2.8,2.74,2.8,8219400.0
2015-03-23,2.81,2.85,2.8,2.84,5607200.0
2015-03-24,2.85,2.85,2.76,2.79,7461300.0
2015-03-25,2.78,2.79,2.56,2.63,25408800.0
2015-03-26,2.59,2.7,2.53,2.65,27109700.0
2015-03-27,2.7,2.8,2.63,2.72,15680600.0
2015-03-30,2.73,2.76,2.65,2.7,7698100.0
2015-03-31,2.66,2.7,2.65,2.68,5729800.0
2015-04-01,2.66,2.75,2.65,2.69,10526900.0
2015-04-02,2.66,2.7,2.65,2.69,6385700.0
2015-04-06,2.68,2.73,2.68,2.7,6060000.0
2015-04-07,2.7,2.74,2.69,2.7,4645700.0
2015-04-08,2.68,2.74,2.68,2.71,4010600.0
2015-04-09,2.69,2.75,2.69,2.72,6492700.0
2015-04-10,2.74,2.78,2.73,2.76,5789900.0
2015-04-13,2.76,2.8,2.73,2.78,7976100.0
2015-04-14,2.77,2.79,2.65,2.67,12471800.0
2015-04-15,2.7,2.74,2.65,2.7,13930800.0
2015-04-16,2.72,2.94,2.7,2.87,25704700.0
2015-04-17,2.54,2.58,2.45,2.58,50319400.0
2015-04-20,2.56,2.57,2.45,2.49,26440500.0
2015-04-21,2.53,2.53,2.35,2.35,29614900.0
2015-04-22,2.35,2.36,2.25,2.28,25500000.0
2015-04-23,2.28,2.36,2.26,2.33,14081000.0
2015-04-24,2.36,2.38,2.3,2.3,13145800.0
2015-04-27,2.3,2.36,2.29,2.34,11906800.0
2015-04-28,2.36,2.37,2.31,2.31,9776300.0
2015-04-29,2.3,2.33,2.27,2.28,10879300.0
2015-04-30,2.28,2.31,2.26,2.26,9271800.0
2015-05-01,2.26,2.31,2.25,2.31,10997100.0
2015-05-04,2.31,2.36,2.3,2.31,9004200.0
2015-05-05,2.34,2.34,2.25,2.28,11268000.0
2015-05-06,2.29,2.31,2.24,2.29,17591900.0
2015-05-07,2.32,2.32,2.26,2.32,14088500.0
2015-05-08,2.33,2.36,2.3,2.31,9328100.0
2015-05-11,2.31,2.35,2.31,2.32,7249400.0
2015-05-12,2.32,2.35,2.3,2.35,9379700.0
2015-05-13,2.36,2.38,2.35,2.37,6793900.0
2015-05-14,2.38,2.39,2.33,2.33,8204100.0
2015-05-15,2.33,2.38,2.32,2.32,7136600.0
2015-05-18,2.35,2.36,2.33,2.35,4065800.0
2015-05-19,2.36,2.37,2.28,2.28,8780100.0
2015-05-20,2.3,2.33,2.28,2.32,5917800.0
2015-05-21,2.31,2.35,2.28,2.28,6567500.0
2015-05-22,2.3,2.31,2.27,2.28,11809400.0
