timestamp,open,high,low,close,volume
2006-09-18,1.0242,1.026,1.012,1.0166,8630000.0
2006-09-19,1.0116,1.0156,0.996,1.006,12050000.0
2006-09-20,1.0118,1.036,1.008,1.022,18230000.0
2006-09-21,1.0316,1.076,1.021,1.064,34610000.0
2006-09-22,1.05,1.054,1.02,1.0426,26295000.0
2006-09-25,1.0424,1.068,1.0394,1.0636,32845000.0
2006-09-26,1.0652,1.0662,1.0294,1.05,19090000.0
2006-09-27,1.0446,1.052,0.9922,0.997,36210000.0
2006-09-28,1.0,1.014,0.974,0.9932,41375000.0
2006-09-29,0.9946,1.0042,0.988,0.9916,35280000.0
2006-10-02,0.9934,1.0014,0.9744,0.9838,32485000.0
2006-10-03,0.9802,1.0014,0.976,0.99,46935000.0
2006-10-04,0.9896,1.0288,0.9752,1.0192,154435000.0
2006-10-05,1.0198,1.022,0.966,1.0026,185610000.0
2006-10-06,1.009,1.0302,0.971,1.028,305030000.0
2006-10-09,1.0496,1.135,1.046,1.1138,209945000.0
2006-10-10,1.11,1.1492,1.1048,1.1296,181110000.0
2006-10-11,1.1296,1.145,1.0926,1.109,81975000.0
2006-10-12,1.114,1.1528,1.1138,1.1448,70090000.0
2006-10-13,1.152,1.152,1.127,1.1366,43940000.0
2006-10-16,1.136,1.1498,1.1138,1.1228,45055000.0
2006-10-17,1.114,1.1292,1.0954,1.1098,38135000.0
2006-10-18,1.1196,1.1304,1.09,1.097,36900000.0
2006-10-19,1.085,1.0994,1.0754,1.0798,28150000.0
2006-10-20,1.084,1.1024,1.075,1.0994,66940000.0
2006-10-23,1.101,1.1316,1.101,1.1274,44735000.0
2006-10-24,1.122,1.1544,1.1168,1.1452,27610000.0
2006-10-25,1.154,1.174,1.139,1.1394,54070000.0
2006-10-26,1.143,1.177,1.136,1.1692,47525000.0
2006-10-27,1.1692,1.184,1.1532,1.1686,33940000.0
2006-10-30,1.169,1.182,1.146,1.1812,34345000.0
2006-10-31,1.18,1.205,1.1626,1.192,87765000.0
2006-11-01,1.1928,1.1982,1.1464,1.1634,78775000.0
2006-11-02,1.134,1.152,1.1212,1.138,49925000.0
2006-11-03,1.142,1.1478,1.11,1.1414,40250000.0
2006-11-06,1.1558,1.1796,1.1558,1.1652,30985000.0
2006-11-07,1.177,1.1774,1.1598,1.1616,33020000.0
2006-11-08,1.15,1.1696,1.132,1.1536,27135000.0
2006-11-09,1.1556,1.158,1.1222,1.1316,23990000.0
2006-11-10,1.142,1.1552,1.134,1.1428,20485000.0
2006-11-13,1.156,1.1572,1.13,1.1318,31120000.0
2006-11-14,1.148,1.1664,1.135,1.1574,64175000.0
2006-11-15,1.162,1.18,1.15,1.1766,36165000.0
2006-11-16,1.18,1.1812,1.1634,1.1744,24375000.0
2006-11-17,1.1754,1.1972,1.16,1.194,51105000.0
2006-11-20,1.1976,1.24,1.192,1.2374,63880000.0
2006-11-21,1.232,1.2472,1.22,1.2214,37590000.0
2006-11-22,1.2202,1.235,1.212,1.2266,17540000.0
2006-11-24,1.2072,1.2254,1.2072,1.2202,6055000.0
2006-11-27,1.2162,1.2164,1.1526,1.1592,53590000.0
2006-11-28,1.154,1.1564,1.115,1.1466,50105000.0
2006-11-29,1.1586,1.1688,1.1532,1.1584,17740000.0
2006-11-30,1.1578,1.1748,1.153,1.159,21940000.0
2006-12-01,1.154,1.1616,1.14,1.1498,13890000.0
2006-12-04,1.163,1.187,1.155,1.16,37010000.0
2006-12-05,1.155,1.159,1.1326,1.1368,34960000.0
2006-12-06,1.136,1.1528,1.127,1.1406,35610000.0
2006-12-07,1.1426,1.1472,1.09,1.0982,55785000.0
2006-12-08,1.0982,1.109,1.0724,1.1062,48705000.0
2006-12-11,1.1192,1.1192,1.0862,1.0972,31845000.0
2006-12-12,1.1,1.1114,1.08,1.0886,39215000.0
2006-12-13,1.0934,1.1078,1.0842,1.0852,36990000.0
2006-12-14,1.084,1.114,1.076,1.0784,34025000.0
2006-12-15,1.074,1.087,1.0562,1.0618,40745000.0
2006-12-18,1.0606,1.0844,1.0432,1.0806,38935000.0
2006-12-19,1.0642,1.0932,1.064,1.0884,31355000.0
2006-12-20,1.0928,1.1074,1.0928,1.0998,27850000.0
2006-12-21,1.099,1.11,1.072,1.0892,18845000.0
2006-12-22,1.115,1.133,1.104,1.1104,33605000.0
2006-12-26,1.1104,1.1296,1.106,1.125,9540000.0
2006-12-27,1.128,1.131,1.1084,1.12,12455000.0
2006-12-28,1.118,1.1336,1.1124,1.1284,21770000.0
2006-12-29,1.1246,1.133,1.1196,1.13,23025000.0
2007-01-03,1.138,1.139,1.12,1.1304,23915000.0
2007-01-04,1.13,1.13,1.1026,1.1058,23265000.0
2007-01-05,1.1116,1.1136,1.0922,1.1,23490000.0
2007-01-08,1.1002,1.124,1.096,1.1208,14265000.0
2007-01-09,1.1208,1.1478,1.1208,1.1286,14830000.0
2007-01-10,1.1146,1.133,1.1102,1.1242,39550000.0
2007-01-11,1.127,1.155,1.1232,1.1502,21950000.0
2007-01-12,1.1484,1.17,1.1326,1.1656,33125000.0
2007-01-16,1.1658,1.21,1.1658,1.206,32185000.0
2007-01-17,1.208,1.2188,1.1904,1.212,27495000.0
2007-01-18,1.212,1.212,1.1804,1.1918,26115000.0
2007-01-19,1.1868,1.1936,1.176,1.1808,12740000.0
2007-01-22,1.1908,1.1908,1.1634,1.1684,20360000.0
2007-01-23,1.179,1.1812,1.1602,1.1694,19325000.0
2007-01-24,1.174,1.1798,1.1592,1.16,20945000.0
2007-01-25,1.164,1.165,1.143,1.147,56280000.0
