timestamp,open,high,low,close,volume
2015-12-22,6.0531,6.1701,6.0292,6.1486,15547656.0
2015-12-23,6.151,6.2966,6.1032,6.2417,14721351.0
2015-12-24,6.2441,6.3038,6.2226,6.2393,3946074.0
2015-12-28,6.2441,6.2632,6.1725,6.194,8200134.0
2015-12-29,6.2274,6.3086,6.2131,6.299,10196739.0
2015-12-30,6.2369,6.2584,6.1749,6.1844,12441594.0
2015-12-31,6.0889,6.2417,6.0889,6.1963,11579019.0
2016-01-04,6.0507,6.1605,5.9886,6.1581,24239556.0
2016-01-05,6.1605,6.2059,6.0196,6.0961,14226432.0
2016-01-06,5.9838,6.022,5.7713,5.8191,22870491.0
2016-01-07,5.6925,5.8024,5.6328,5.64,26185239.0
2016-01-08,5.683,5.6949,5.5946,5.6066,25543158.0
2016-01-11,5.5827,5.6806,5.5349,5.6161,30411594.0
2016-01-12,5.6257,5.7641,5.5421,5.6591,32028336.0
2016-01-13,5.6161,5.7092,5.1935,5.3367,60731964.0
2016-01-14,5.4108,5.6806,5.3869,5.554,44539413.0
2016-01-15,5.3129,5.4513,5.289,5.4346,32194122.0
2016-01-19,5.523,5.5636,5.3654,5.4275,26516718.0
2016-01-20,5.3224,5.3917,5.0908,5.3224,29262972.0
2016-01-21,5.2532,5.4466,5.172,5.3391,29124048.0
2016-01-22,5.4728,5.5445,5.2818,5.3534,25365513.0
2016-01-25,5.3367,5.3773,5.2317,5.246,14676015.0
2016-01-26,5.2699,5.3367,5.2555,5.3176,25620660.0
2016-01-27,5.3248,5.4131,5.203,5.246,26751171.0
2016-01-28,5.32,5.3773,5.2603,5.3415,16872300.0
2016-01-29,5.3773,5.4991,5.3773,5.4967,19425081.0
2016-02-01,5.3988,5.4896,5.3415,5.4585,21741396.0
2016-02-02,5.3988,5.4155,5.2197,5.2603,18467622.0
2016-02-03,5.3343,5.3797,5.1672,5.3391,19671471.0
2016-02-04,5.3367,5.5994,5.3367,5.5039,26581116.0
2016-02-05,5.5015,5.5516,5.4108,5.4513,17232081.0
2016-02-08,5.4155,5.5063,5.32,5.4943,31350045.0
2016-02-09,5.3869,5.714,5.3869,5.7021,38496396.0
2016-02-10,5.7355,5.8191,5.6925,5.7618,32082825.0
2016-02-11,5.6471,5.7164,5.4991,5.5898,21874203.0
2016-02-12,5.5564,5.7833,5.554,5.7761,21517437.0
2016-02-16,5.917,5.9671,5.7236,5.9122,28982739.0
2016-02-17,5.8191,6.0125,5.671,5.9289,32910135.0
2016-02-18,5.9265,5.9886,5.862,5.9265,21442023.0
2016-02-19,5.8812,5.948,5.8286,5.8525,32973027.0
2016-02-22,6.0746,6.139,6.0196,6.0411,24236412.0
2016-02-23,5.9719,6.065,5.8143,5.8215,23698242.0
2016-02-24,5.7305,5.8966,5.6255,5.8477,22280823.0
