timestamp,open,high,low,close,volume
2007-02-13,82.49,82.73,82.4,82.69,554400.0
2007-02-14,82.69,83.16,82.68,83.1,1253300.0
2007-02-15,83.59,84.03,83.46,84.03,634300.0
2007-02-16,83.83,84.01,83.8,83.92,74100.0
2007-02-20,83.31,83.51,83.3,83.51,170500.0
2007-02-21,82.76,82.95,82.71,82.9,147700.0
2007-02-22,82.61,82.61,82.11,82.46,105700.0
2007-02-23,82.74,82.83,82.66,82.78,54200.0
2007-02-26,83.12,83.26,82.93,83.08,53200.0
2007-02-27,84.22,85.04,82.6,84.8,164700.0
2007-02-28,84.69,84.78,84.24,84.62,125700.0
2007-03-01,85.3,85.6,85.03,85.29,352200.0
2007-03-02,85.52,86.25,85.4,85.85,1473400.0
2007-03-05,86.63,86.67,86.14,86.45,413300.0
2007-03-06,86.06,86.19,85.68,85.81,161900.0
2007-03-07,85.99,86.35,85.87,86.32,107900.0
2007-03-08,85.29,85.6,85.16,85.52,337300.0
2007-03-09,84.72,84.92,84.55,84.62,236000.0
2007-03-12,85.21,85.37,84.93,85.01,169000.0
2007-03-13,85.78,86.0,85.34,85.99,379700.0
2007-03-14,85.8,86.25,85.45,85.5,372700.0
2007-03-15,85.37,85.45,84.93,85.11,119000.0
2007-03-16,85.59,85.81,85.55,85.6,246400.0
2007-03-19,85.24,85.31,84.94,85.15,198900.0
2007-03-20,85.39,85.55,85.23,85.33,117200.0
2007-03-21,84.87,85.33,84.8,85.13,158400.0
2007-03-22,84.93,85.09,84.57,84.76,223500.0
2007-03-23,85.18,85.19,84.59,84.64,826600.0
2007-03-26,84.57,85.03,84.52,84.72,99400.0
2007-03-27,84.7,84.97,84.69,84.83,70300.0
2007-03-28,85.55,85.94,85.47,85.57,181100.0
2007-03-29,84.9,85.02,84.67,84.78,281700.0
2007-03-30,84.56,85.34,84.45,84.92,191200.0
2007-04-02,84.94,85.1,84.89,84.91,78100.0
2007-04-03,84.77,84.77,84.0,84.13,152000.0
2007-04-04,84.23,84.36,84.15,84.31,52800.0
2007-04-05,84.29,84.38,84.21,84.25,116000.0
2007-04-09,83.88,83.91,83.77,83.87,136700.0
2007-04-10,84.0,84.1,83.91,83.97,113800.0
