timestamp,open,high,low,close,volume
2006-09-18,2.394,2.4151,2.3644,2.3834,37231000.0
2006-09-19,2.3787,2.3808,2.2978,2.3369,41110000.0
2006-09-20,2.3581,2.3607,2.319,2.347,33468000.0
2006-09-21,2.3596,2.3628,2.2846,2.2994,37844000.0
2006-09-22,2.3047,2.3343,2.2646,2.3058,28670000.0
2006-09-25,2.3258,2.3929,2.282,2.3823,37908000.0
2006-09-26,2.3871,2.4077,2.3554,2.3992,32391000.0
2006-09-27,2.3924,2.4161,2.339,2.3517,29648000.0
2006-09-28,2.3385,2.3633,2.3169,2.3633,26985000.0
2006-09-29,2.3591,2.3691,2.3227,2.347,25716000.0
2006-10-02,2.3559,2.3839,2.3253,2.3258,22398000.0
2006-10-03,2.3116,2.3443,2.2905,2.3174,23457000.0
2006-10-04,2.3095,2.3903,2.291,2.3829,32982000.0
2006-10-05,2.3723,2.3839,2.3464,2.3797,24630000.0
2006-10-06,2.3934,2.4769,2.3802,2.4547,55802000.0
2006-10-09,2.4478,2.5624,2.4436,2.5302,44449000.0
2006-10-10,2.5297,2.5725,2.461,2.5212,45600000.0
2006-10-11,2.5212,2.5862,2.5139,2.5513,43565000.0
2006-10-12,2.5693,2.5799,2.4996,2.5788,40105000.0
2006-10-13,2.5688,2.5915,2.5508,2.5778,39320000.0
2006-10-16,2.6089,2.6232,2.5751,2.6168,29024000.0
2006-10-17,2.5878,2.5931,2.535,2.5519,42603000.0
2006-10-18,2.5292,2.536,2.4373,2.4531,58669000.0
2006-10-19,2.4505,2.4843,2.4183,2.4595,34651000.0
2006-10-20,2.4547,2.4579,2.4093,2.4346,28388000.0
2006-10-23,2.4214,2.5075,2.4151,2.4647,36683000.0
2006-10-24,2.47,2.4874,2.4167,2.4172,34118000.0
2006-10-25,2.5286,2.6654,2.5123,2.6179,93975000.0
2006-10-26,2.6116,2.6285,2.5714,2.6232,31682000.0
2006-10-27,2.6084,2.6189,2.5191,2.5455,35084000.0
2006-10-30,2.5735,2.6406,2.5614,2.6068,38646000.0
2006-10-31,2.6174,2.6321,2.5682,2.5989,27811000.0
2006-11-01,2.6057,2.6057,2.5202,2.5371,28651000.0
2006-11-02,2.5175,2.545,2.4922,2.5001,31116000.0
2006-11-03,2.5096,2.5308,2.4705,2.5181,25461000.0
2006-11-06,2.5281,2.5799,2.5001,2.5688,25768000.0
2006-11-07,2.5725,2.6538,2.5688,2.6063,38705000.0
2006-11-08,2.5952,2.6285,2.5693,2.6168,27656000.0
2006-11-09,2.6216,2.6311,2.5228,2.5271,34279000.0
2006-11-10,2.5397,2.5693,2.5121,2.564,19377000.0
2006-11-13,2.5773,2.6223,2.5571,2.6143,27155000.0
2006-11-14,2.6143,2.6974,2.5688,2.69,46365000.0
2006-11-15,2.6927,2.7117,2.6493,2.6699,39361000.0
2006-11-16,2.6535,2.7213,2.6291,2.7022,43924000.0
2006-11-17,2.7011,2.7578,2.6858,2.7377,56674000.0
2006-11-20,2.7424,2.7663,2.69,2.7652,31543000.0
2006-11-21,2.7578,2.7843,2.7213,2.7477,28905000.0
2006-11-22,2.7551,2.7938,2.7361,2.7737,25488000.0
2006-11-24,2.7493,2.7657,2.7356,2.7377,9166000.0
2006-11-27,2.7139,2.7456,2.6482,2.6551,29889000.0
2006-11-28,2.6498,2.7133,2.6418,2.7054,35526000.0
2006-11-29,2.7176,2.7398,2.6657,2.7027,26510000.0
2006-11-30,2.6985,2.7472,2.6683,2.7345,33089000.0
2006-12-01,2.7308,2.7599,2.6265,2.6789,43830000.0
2006-12-04,2.6794,2.7721,2.6556,2.7382,33513000.0
2006-12-05,2.7493,2.7641,2.7229,2.7313,22919000.0
2006-12-06,2.716,2.7742,2.7054,2.7514,22559000.0
2006-12-07,2.7615,2.7737,2.7266,2.7266,32924000.0
2006-12-08,2.7144,2.7435,2.6858,2.7022,34572000.0
2006-12-11,2.7006,2.7636,2.6906,2.7308,31543000.0
2006-12-12,2.7409,2.7626,2.6826,2.7133,27852000.0
