timestamp,open,high,low,close,volume
2012-06-29,4.75,4.95,4.566,4.844,53547500.0
2012-07-02,4.95,5.04,4.82,4.954,3209000.0
2012-07-03,4.97,5.064,4.92,5.062,1971000.0
2012-07-05,5.1,5.252,5.028,5.192,2663000.0
2012-07-06,5.15,5.224,5.02,5.168,1745500.0
2012-07-09,5.192,5.26,5.036,5.054,745500.0
2012-07-10,5.044,5.138,5.01,5.01,1470500.0
2012-07-11,5.004,5.07,4.698,4.74,1444500.0
2012-07-12,4.66,4.894,4.524,4.816,1605500.0
2012-07-13,4.938,4.984,4.796,4.8,440500.0
2012-07-16,4.816,4.912,4.76,4.876,584000.0
2012-07-17,4.896,4.896,4.786,4.854,1126000.0
2012-07-18,4.886,4.938,4.8,4.846,513500.0
2012-07-19,4.934,4.934,4.78,4.8,1263500.0
2012-07-20,4.808,5.046,4.78,5.046,872000.0
2012-07-23,5.002,5.002,4.782,4.87,3005000.0
2012-07-24,4.966,5.192,4.92,4.968,1350000.0
2012-07-25,5.012,5.094,4.968,4.986,551000.0
2012-07-26,4.986,5.07,4.8,4.884,781500.0
2012-07-27,4.896,5.088,4.864,5.066,488500.0
2012-07-30,5.05,5.09,5.01,5.078,408500.0
2012-07-31,5.088,5.512,5.082,5.4,1342500.0
2012-08-01,5.464,5.596,5.352,5.542,537500.0
2012-08-02,5.5,5.86,5.4,5.816,2707500.0
2012-08-03,5.886,6.286,5.716,5.734,2132000.0
2012-08-06,5.8,5.832,5.446,5.604,2876500.0
2012-08-07,5.66,5.75,5.558,5.6,935500.0
2012-08-08,5.582,5.582,5.402,5.514,1459000.0
2012-08-09,5.496,6.004,5.46,5.902,652000.0
2012-08-10,5.874,6.4,5.874,6.33,1086500.0
2012-08-13,6.406,6.51,6.344,6.486,1063000.0
2012-08-14,6.53,6.792,6.44,6.456,2702500.0
2012-08-15,6.422,6.422,5.894,5.936,2299000.0
2012-08-16,6.012,6.114,5.92,5.95,1475500.0
2012-08-17,6.0,6.008,5.888,5.92,1937000.0
2012-08-20,5.91,5.99,5.91,5.978,1375500.0
2012-08-21,6.038,6.122,5.99,6.052,970500.0
2012-08-22,6.054,6.104,5.966,5.97,3078000.0
2012-08-23,5.986,6.134,5.762,5.806,1442500.0
2012-08-24,5.758,5.988,5.758,5.94,710000.0
2012-08-27,5.94,6.262,5.826,5.854,1258000.0
2012-08-28,5.854,5.94,5.81,5.864,758000.0
2012-08-29,5.878,5.958,5.85,5.894,578000.0
2012-08-30,5.848,6.2,5.806,5.956,921500.0
2012-08-31,6.048,6.3,5.984,6.22,1414500.0
2012-09-04,6.222,6.768,6.222,6.734,1617500.0
2012-09-05,6.732,6.866,6.602,6.838,1635500.0
2012-09-06,6.84,7.216,6.822,7.212,1946500.0
2012-09-07,7.3,7.462,7.124,7.31,2033000.0
2012-09-10,7.4,7.4,6.848,6.878,2229500.0
2012-09-11,6.96,7.034,6.568,6.602,1427000.0
2012-09-12,6.708,7.088,6.652,7.01,1620500.0
2012-09-13,7.026,7.664,6.942,7.502,2247000.0
2012-09-14,7.576,7.866,7.544,7.812,3510000.0
2012-09-17,7.8,7.954,7.606,7.638,4014500.0
2012-09-18,7.73,7.73,7.276,7.36,3306000.0
