timestamp,open,high,low,close,volume
2006-09-18,7.258,7.3898,7.1952,7.371,3674626.500122459
2006-09-19,7.3459,7.4118,7.1826,7.2203,2979916.727896155
2006-09-20,7.2046,7.2988,7.0634,7.0634,4291207.445505755
2006-09-21,7.101,7.3271,7.101,7.2046,5780675.973548861
2006-09-22,7.2172,7.2423,7.0634,7.1607,3107641.44011756
2006-09-25,7.1575,7.1858,7.01,7.1073,5446607.88635807
2006-09-26,7.1073,7.3459,7.0634,7.3302,4343007.592456527
2006-09-27,7.3773,7.4809,7.2894,7.4055,4492774.920401665
2006-09-28,7.393,7.528,7.3804,7.5029,5731569.924075434
2006-09-29,7.5029,7.5437,7.4055,7.4934,3629071.760960078
2006-10-02,7.5311,7.5468,7.4275,7.4872,4452363.458241489
2006-10-03,7.4872,7.4903,7.2203,7.2329,5353906.44134215
2006-10-04,7.2831,7.3647,7.1356,7.2078,9668013.71540534
2006-10-05,7.3208,7.5123,7.3208,7.4401,7345579.230957629
2006-10-06,7.3898,7.4746,7.3208,7.4746,4166176.830761695
2006-10-09,7.4715,7.5688,7.3804,7.4024,2527920.646583394
2006-10-10,7.3741,7.5029,7.3365,7.4872,2876071.516042126
2006-10-11,7.5845,7.5845,7.3961,7.4087,2494979.181974039
2006-10-12,7.415,7.6535,7.3867,7.6127,5346558.902767572
2006-10-13,7.6347,7.7163,7.5782,7.6159,2918197.403869703
2006-10-16,7.5845,7.7195,7.5594,7.7132,2880847.416115601
2006-10-17,7.7069,7.7132,7.5813,7.6755,3515797.207935341
2006-10-18,7.6849,7.754,7.5185,7.5656,3890766.593191281
2006-10-19,7.5342,7.7132,7.5154,7.7006,4517266.715650257
2006-10-20,7.7195,7.7383,7.5813,7.6943,3683198.628459466
2006-10-23,7.6441,7.7917,7.5813,7.6567,3405339.211364193
2006-10-24,7.6064,7.732,7.6033,7.7289,4966568.699485672
2006-10-25,7.7289,7.8607,7.6253,7.7509,5305535.145726181
2006-10-26,7.7634,7.8105,7.6159,7.7226,3860151.849130541
2006-10-27,7.7226,7.8827,7.6849,7.7038,4252632.867989223
2006-10-30,7.7006,7.7006,7.5656,7.6064,3241611.560127357
2006-10-31,7.6284,7.6818,7.4463,7.6692,3630173.891746265
2006-11-01,7.7195,7.7289,7.5248,7.6347,4755326.965466568
2006-11-02,7.641,7.8136,7.5813,7.6598,4836149.889786921
2006-11-03,7.754,7.8482,7.6849,7.776,4895542.493264756
2006-11-06,7.8011,7.8607,7.7414,7.8513,5189811.413176585
2006-11-07,7.8607,7.8639,7.7791,7.8482,5465221.650746999
2006-11-08,7.8419,8.1056,7.7791,8.0742,6914156.257653686
2006-11-09,8.1213,8.3442,8.1025,8.3128,8414401.17560617
2006-11-10,8.3191,8.3285,8.1841,8.3222,4253245.162870438
2006-11-13,8.2877,8.4289,8.2343,8.363,3618050.453098212
2006-11-14,8.3693,8.4007,8.2626,8.341,2660911.094783247
2006-11-15,8.3787,8.4917,8.3379,8.3567,4809453.832965956
2006-11-16,8.4132,8.4572,8.2657,8.2877,4384643.644379133
2006-11-17,8.2626,8.4321,8.2312,8.385,3983468.0382072
2006-11-20,8.3661,8.4446,8.3159,8.3285,3503306.39235856
2006-11-21,8.3505,8.4729,8.3191,8.454,3453710.506980161
2006-11-22,8.4227,8.498,8.272,8.3756,2524369.336272349
2006-11-24,8.3975,8.4792,8.2374,8.2594,1118050.453098212
2006-11-27,8.3756,8.5514,8.3379,8.363,3427136.909135439
2006-11-28,8.3913,8.589,8.3881,8.5639,4422483.468038207
2006-11-29,8.6016,8.8904,8.5702,8.7617,7413543.962772471
2006-11-30,8.7648,8.8339,8.6518,8.7146,4459221.160911094
2006-12-01,8.7177,8.7743,8.6393,8.7617,3374846.926279696
2006-12-04,8.7586,8.7586,8.6801,8.7303,2457016.899338721
2006-12-05,8.7429,8.7901,8.6893,8.7429,4208180.259613029
2006-12-06,8.7492,8.8342,8.724,8.7555,3644256.674014205
2006-12-07,8.7397,8.8184,8.6641,8.6956,3014327.700220426
